ecosystem,file,name,constraint,before,stable,declared,after,note
"cargo","rust/alera-mobile-native/Cargo.toml","serde","1","1.0.229","1.0.229","1.0.229","1.0.229",""
"cargo","rust/alera-mobile-native/Cargo.toml","serde_json","1","1.0.151","1.0.151","1.0.151","1.0.151",""
"cargo","rust/alera-mobile-native/Cargo.toml","whisper-rs","0.16.0","0.16.0","0.16.0","0.16.0","0.16.0",""
"cargo","cloud/Cargo.toml","anyhow","1","1.0.104","1.0.104","1.0.104","1.0.104",""
"cargo","cloud/Cargo.toml","async-trait","0.1","0.1.91","0.1.92","0.1.92","0.1.92",""
"cargo","cloud/Cargo.toml","axum","0.8","0.8.9","0.8.9","0.8.9","0.8.9",""
"cargo","cloud/Cargo.toml","base64","0.22","0.22.1","0.23.1","0.23.1","0.22.1;0.23.1",""
"cargo","cloud/Cargo.toml","chrono","0.4","0.4.45","0.4.45","0.4.45","0.4.45",""
"cargo","cloud/Cargo.toml","ed25519-dalek","2","2.2.0","3.0.0","3.0.0","2.2.0;3.0.0",""
"cargo","cloud/Cargo.toml","hex","0.4","0.4.3","0.4.3","0.4.3","0.4.3",""
"cargo","cloud/Cargo.toml","hmac","0.12","0.12.1","0.13.0","0.13.0","0.12.1;0.13.0",""
"cargo","cloud/Cargo.toml","jsonwebtoken","11","11.0.0","11.0.0","11.0.0","11.0.0",""
"cargo","cloud/Cargo.toml","rand","0.8","0.8.7;0.10.2","0.10.2","0.10.2","0.8.8;0.10.2",""
"cargo","cloud/Cargo.toml","reqwest","0.12","0.12.28","0.13.4","0.13.4","0.13.4",""
"cargo","cloud/Cargo.toml","serde","1","1.0.229","1.0.229","1.0.229","1.0.229",""
"cargo","cloud/Cargo.toml","serde_json","1","1.0.151","1.0.151","1.0.151","1.0.151",""
"cargo","cloud/Cargo.toml","sha2","0.10","0.10.9","0.11.0","0.11.0","0.10.9;0.11.0",""
"cargo","cloud/Cargo.toml","sqlx","0.8","0.8.6","0.9.0","0.9.0","0.9.0",""
"cargo","cloud/Cargo.toml","subtle","2","2.6.1","2.6.1","2.6.1","2.6.1",""
"cargo","cloud/Cargo.toml","thiserror","2","2.0.19","2.0.20","2.0.20","2.0.20",""
"cargo","cloud/Cargo.toml","tokio","1","1.53.1","1.53.1","1.53.1","1.53.1",""
"cargo","cloud/Cargo.toml","tower-http","0.6","0.6.11","0.7.0","0.7.0","0.6.11;0.7.0",""
"cargo","cloud/Cargo.toml","tracing","0.1","0.1.44","0.1.44","0.1.44","0.1.44",""
"cargo","cloud/Cargo.toml","tracing-subscriber","0.3","0.3.23","0.3.23","0.3.23","0.3.23",""
"cargo","cloud/Cargo.toml","url","2.5","2.5.8","2.5.8","2.5.8","2.5.8",""
"cargo","cloud/Cargo.toml","uuid","1","1.24.0","1.26.0","1.26.0","1.26.0",""
"cargo","cloud/Cargo.toml","rsa","0.9","0.9.10","0.9.10","0.9.10","0.9.10",""
"cargo","cloud/Cargo.toml","tower","0.5","0.5.3","0.5.3","0.5.3","0.5.3",""
"cargo","rust/alera-core/Cargo.toml","hex","","0.4.3","0.4.3","0.4.3","0.4.3","New direct dependency for unchanged lowercase SHA-256 fingerprints; previously transitive"
"cargo","rust/alera-cli/Cargo.toml","keyring-core","","","1.0.0","1.0.0","1.0.0","New Linux-only credential adapter dependency"
"cargo","rust/alera-cli/Cargo.toml","dbus-secret-service-keyring-store","","","1.0.1","1.0.1","1.0.1","New Linux-only Secret Service backend; preserved service/user mapping"
"cargo","rust/alera-cli/Cargo.toml","rand","","0.8.7;0.9.5;0.10.2","0.10.2","0.10.2","0.8.8;0.9.5;0.10.2","New direct dependency replacing rand_core while preserving OS-backed randomness"
